Room,Building,,Contract Status Date,,,Class Year,,College,,,
067,SPELMAN,,,"Apr 1, 2013 12:58:49 PM",,2015,UPPER,,,,
102,HENRY,,,"Apr 1, 2013 1:01:42 PM",,2014,UPPER,,,,
101,HENRY,,,"Apr 1, 2013 1:03:24 PM",,2015,UPPER,,,,
105,DOD,,,"Apr 1, 2013 1:08:02 PM",,2014,UPPER,,,,
018,SPELMAN,,,"Apr 1, 2013 1:16:32 PM",,2015,UPPER,,,,
018,SPELMAN,,,"Apr 1, 2013 1:16:32 PM",,2015,UPPER,,,,
018,SPELMAN,,,"Apr 1, 2013 1:16:32 PM",,2015,UPPER,,,,
018,SPELMAN,,,"Apr 1, 2013 1:16:32 PM",,2015,UPPER,,,,
302,LOCKHART,,,"Apr 1, 2013 1:17:29 PM",,2014,UPPER,,,,
121,PYNE,,,"Apr 1, 2013 1:18:41 PM",,2014,UPPER,,,,
121,PYNE,,,"Apr 1, 2013 1:18:41 PM",,2014,UPPER,,,,
071,SPELMAN,,,"Apr 1, 2013 1:21:20 PM",,2015,UPPER,,,,
071,SPELMAN,,,"Apr 1, 2013 1:21:20 PM",,2015,UPPER,,,,
071,SPELMAN,,,"Apr 1, 2013 1:21:20 PM",,2015,UPPER,,,,
071,SPELMAN,,,"Apr 1, 2013 1:21:20 PM",,2015,UPPER,,,,
115,PYNE,,,"Apr 1, 2013 1:40:25 PM",,2015,UPPER,,,,
116,PYNE,,,"Apr 1, 2013 1:41:56 PM",,2015,UPPER,,,,
E403,WILF,,,"Apr 1, 2013 2:05:52 PM",,2015,UPPER,,,,
235,LOCKHART,,,"Apr 1, 2013 2:08:44 PM",,2015,UPPER,,,,
231,LOCKHART,,,"Apr 1, 2013 2:10:26 PM",,2015,UPPER,,,,
271,SCULLY,,,"Apr 1, 2013 2:20:13 PM",,2015,UPPER,,,,
116,DOD,,,"Apr 1, 2013 2:25:25 PM",,2015,UPPER,,,,
106,DOD,,,"Apr 1, 2013 2:38:08 PM",,2015,UPPER,,,,
102,DOD,,,"Apr 1, 2013 2:38:29 PM",,2015,UPPER,,,,
107,DOD,,,"Apr 1, 2013 2:39:13 PM",,2015,UPPER,,,,
E405,WILF,,,"Apr 1, 2013 2:43:11 PM",,2015,UPPER,,,,
E405,WILF,,,"Apr 1, 2013 2:43:12 PM",,2015,UPPER,,,,
E405,WILF,,,"Apr 1, 2013 2:43:12 PM",,2015,UPPER,,,,
E405,WILF,,,"Apr 1, 2013 2:43:12 PM",,2015,UPPER,,,,
367,SCULLY,,,"Apr 1, 2013 2:57:08 PM",,2015,UPPER,,,,
367,SCULLY,,,"Apr 1, 2013 2:57:08 PM",,2015,UPPER,,,,
367,SCULLY,,,"Apr 1, 2013 2:57:08 PM",,2015,UPPER,,,,
367,SCULLY,,,"Apr 1, 2013 2:57:08 PM",,2015,UPPER,,,,
304,LOCKHART,,,"Apr 1, 2013 3:12:19 PM",,2015,UPPER,,,,
085,PATTON,,,"Apr 1, 2013 3:14:56 PM",,2015,UPPER,,,,
222,LOCKHART,,,"Apr 1, 2013 3:29:18 PM",,2015,UPPER,,,,
221,LOCKHART,,,"Apr 1, 2013 3:29:49 PM",,2015,UPPER,,,,
323,LOCKHART,,,"Apr 1, 2013 3:31:07 PM",,2015,UPPER,,,,
322,LOCKHART,,,"Apr 1, 2013 3:31:20 PM",,2015,UPPER,,,,
301,LOCKHART,,,"Apr 1, 2013 3:33:09 PM",,2015,UPPER,,,,
082,PATTON,,,"Apr 1, 2013 3:52:25 PM",,2015,UPPER,,,,
082,PATTON,,,"Apr 1, 2013 3:52:25 PM",,2015,UPPER,,,,
082,PATTON,,,"Apr 1, 2013 3:52:25 PM",,2015,UPPER,,,,
082,PATTON,,,"Apr 1, 2013 3:52:25 PM",,2015,UPPER,,,,
