Room 	Date/Time Drawn
FORBES 220	Apr 12, 2017 10:13:35 AM
FORBES 219	Apr 12, 2017 10:14:11 AM
FORBES A133	Apr 12, 2017 10:14:30 AM
FORBES 331	Apr 12, 2017 10:17:17 AM
WALKER 132	Apr 12, 2017 10:20:27 AM
DODGE OSBORN 202	Apr 12, 2017 10:22:24 AM
WALKER 331	Apr 12, 2017 10:23:42 AM
FORBES 267	Apr 12, 2017 10:24:44 AM
FORBES 264	Apr 12, 2017 10:26:58 AM
WALKER 301	Apr 12, 2017 10:27:05 AM
FORBES 268	Apr 12, 2017 10:28:24 AM
1937 201	Apr 12, 2017 10:28:51 AM
1937 204	Apr 12, 2017 10:28:51 AM
FORBES 266	Apr 12, 2017 10:29:26 AM
DODGE OSBORN 123	Apr 12, 2017 10:33:24 AM
1937 103	Apr 12, 2017 10:35:03 AM
CLAPP 201	Apr 12, 2017 10:36:12 AM
FORBES A148	Apr 12, 2017 10:38:17 AM
FORBES A154	Apr 12, 2017 10:38:36 AM
FORBES A152	Apr 12, 2017 10:38:43 AM
DODGE OSBORN 226	Apr 12, 2017 10:40:13 AM
DODGE OSBORN 227	Apr 12, 2017 10:43:33 AM
FORBES 324	Apr 12, 2017 10:45:28 AM
FORBES A144	Apr 12, 2017 10:45:31 AM
FORBES A142	Apr 12, 2017 10:45:42 AM
CLAPP 202	Apr 12, 2017 10:46:53 AM
FORBES A248	Apr 12, 2017 10:51:22 AM
FORBES A146	Apr 12, 2017 10:56:57 AM
FORBES 321	Apr 12, 2017 10:56:58 AM
1939 126	Apr 12, 2017 11:02:05 AM
1927 131	Apr 12, 2017 11:02:41 AM
FORBES A247	Apr 12, 2017 11:02:54 AM
FORBES A257	Apr 12, 2017 11:03:41 AM
FORBES A259	Apr 12, 2017 11:03:41 AM
FORBES 152	Apr 12, 2017 11:04:08 AM
1939 116	Apr 12, 2017 11:04:37 AM
1937 131	Apr 12, 2017 11:06:59 AM
GAUSS 115	Apr 12, 2017 11:08:07 AM
CLAPP 212	Apr 12, 2017 11:11:42 AM
FORBES A246	Apr 12, 2017 11:16:23 AM
1937 122	Apr 12, 2017 11:17:26 AM
FORBES 108	Apr 12, 2017 11:17:46 AM
FORBES 210	Apr 12, 2017 11:18:14 AM
FORBES 107	Apr 12, 2017 11:18:27 AM
DODGE OSBORN 217	Apr 12, 2017 11:18:44 AM
1927 112	Apr 12, 2017 11:20:17 AM
GAUSS 116	Apr 12, 2017 11:20:27 AM
1938 214	Apr 12, 2017 11:22:38 AM
