0023 T11	1	Upperclass	Pub	2	139	No	250	182	247	165
0023 T12	6	Upperclass	Prv	3	1278	No	3	1	6	1
0026 003A	1	Rockefeller	Pub	3	162	No	81	47	66	38
0026 003B	1	Rockefeller	Pub	3	141	No	84	48	76	45
0026 003C	1	Rockefeller	Pub	3	171	No	72	41	67	39
0026 004A	2	Rockefeller	Pub	3	192	No
0026 004B	1	Rockefeller	Pub	3	168	No	31	19	43	24
0026 005B	1	Mathey	Pub	3	140	No	106	74	81	52
0026 006A	1	Mathey	Pub	3	146	No	105	73	79	50
0026 013	2	Rockefeller	Pub	1	333	No	30	4	44	6
0026 014	2	Rockefeller	Pub	2	328	No	73	6	47	8
0026 015	4	Rockefeller	Pub	1	452	No
0026 022	2	Rockefeller	Pub	2	317	No	83	8	19	4
0026 024	2	Rockefeller	Pub	2	262	No
0026 026	4	Rockefeller	Pub	2	486	No	69	23	89	25
0026 028	4	Rockefeller	Pub	2	455	No	85	28
0026 052	1	Mathey	Pub	2	126	No	97	69	39	31
0026 052A	1	Mathey	Pub	2	117	No	130	78
0026 052B	1	Mathey	Pub	2	118	No	107	75	80	51
0026 061	2	Mathey	Pub	1	274	No	121	14	72	11
0026 062	2	Mathey	Pub	2	272	No	122	15	77	13
0026 063	2	Mathey	Pub	1	270	No	110	12	85	14
0028 011	2	Rockefeller	Pub	1	305	No	16	2
0028 012	1	Rockefeller	Pub	2	200	No	5	2	4	2
0028 022	1	Rockefeller	Pub	2	110	No	74	42	69	40
0028 024	1	Rockefeller	Pub	3	110	No	77	43	61	34
0028 025	1	Rockefeller	Pub	4	125	No	57	34	62	35
0028 026	2	Rockefeller	Pub	4	235	No	89	10	58	12
0028 027	4	Rockefeller	Pub	5	620	No	52	17	41	13
0028 037	4	Rockefeller	Pub	3	458	No	92	31	72	17
0028 041	4	Rockefeller	Pub	1	470	No	86	29	88	24
0028 042	4	Rockefeller	Pub	1	448	No	71	25	92	28
0028 046	4	Rockefeller	Pub	3	549	No	42	11	68	15
0028 055	2	Rockefeller	Pub	2	186	No	64	13
